,category,viewCount,likeCount,commentCount,duration,made_for_kids,viewPerComment,tagsCount,year,weekday,time,month,time_of_day,title_length
0,5,2,39271,2538,4,0,165.40110323089047,8,2023,0,2023-05-23 16:27:00,5,0,18
1,5,4,156694,6633,3,0,364.84712799638174,6,2023,6,2023-05-23 17:15:00,5,0,35
2,5,4,78836,2315,5,0,742.5434125269978,3,2023,5,2023-05-23 00:55:00,5,1,34
3,5,4,119458,5293,2,0,390.75118080483657,9,2023,4,2023-05-23 16:03:00,5,0,30
4,5,4,113299,4649,2,0,440.77543557754353,9,2023,3,2023-05-23 18:08:00,5,1,16
5,5,4,174610,4337,5,0,901.9518100069172,3,2023,1,2023-05-23 03:20:00,5,1,21
6,5,4,107428,5395,3,0,413.5423540315107,8,2023,5,2023-05-23 22:56:00,5,1,18
7,5,4,130471,4951,3,0,508.1569379923248,12,2023,3,2023-05-23 16:32:00,5,0,12
8,5,4,67768,1844,3,0,641.3953362255966,0,2023,2,2023-05-23 22:41:00,5,1,22
9,5,4,130889,4088,3,0,682.0782778864971,21,2023,0,2023-05-23 16:00:00,5,0,25
10,5,4,78591,2058,2,0,710.2308066083576,8,2023,6,2023-05-23 19:38:00,5,1,26
11,5,4,162208,5951,3,0,535.8623760712485,9,2023,4,2023-05-23 19:52:00,5,1,16
12,5,4,187436,12850,1,0,142.45112840466925,1,2023,5,2023-05-23 21:43:00,4,1,8
13,5,4,380765,15173,0,0,300.3368483490411,7,2023,4,2023-05-23 16:00:00,4,0,35
14,5,4,93809,3066,3,0,485.0900195694716,0,2023,0,2023-05-23 00:20:00,4,1,10
15,5,4,94247,4794,0,0,256.1971214017522,1,2023,5,2023-05-23 16:00:00,4,0,17
16,5,4,181241,6065,3,0,673.0722176422094,11,2023,6,2023-05-23 17:41:00,4,0,21
17,5,4,116328,4425,2,0,525.565197740113,8,2023,3,2023-05-23 15:00:00,4,0,19
18,5,4,137310,5818,3,0,499.2793056033001,21,2023,6,2023-05-23 17:50:00,4,0,25
19,5,4,107566,3379,3,0,704.6587747854395,13,2023,5,2023-05-23 16:29:00,4,0,18
20,5,4,562291,28370,0,0,128.50616848783926,0,2023,6,2023-05-23 21:14:00,3,1,5
21,5,4,302251,18008,1,0,165.64921146157263,1,2023,5,2023-05-23 21:10:00,3,1,12
22,5,5,521353,45113,1,0,131.74603772748432,1,2023,2,2023-05-23 01:42:00,3,1,14
23,5,4,137952,5121,3,0,572.1470415934388,21,2023,0,2023-05-23 18:55:00,2,1,25
24,5,4,145773,5162,3,0,577.0548237117397,12,2023,4,2023-05-23 17:00:00,2,0,32
25,5,3,34015,1696,4,0,436.3331367924528,0,2023,2,2023-05-23 17:00:00,2,0,28
26,5,4,126401,3834,3,0,947.2237871674491,0,2023,1,2023-05-23 17:00:00,2,0,29
27,5,3,32414,1633,2,0,397.76056338028167,0,2023,5,2023-05-23 23:38:00,2,1,28
28,5,4,234653,3940,0,0,749.2989847715736,14,2023,4,2023-05-23 19:39:00,2,1,27
29,5,3,33714,1401,4,0,631.0849393290507,10,2023,3,2023-05-23 17:09:00,2,0,28
30,5,4,132287,4372,3,0,598.502516010979,11,2023,2,2023-05-23 20:20:00,2,1,6
31,5,3,33060,1472,3,0,449.9735054347826,10,2023,1,2023-05-23 20:24:00,2,1,27
32,5,4,186260,5616,2,0,640.4464031339031,13,2023,0,2023-05-23 20:49:00,2,1,25
33,5,3,34672,1394,3,0,563.8479196556672,10,2023,6,2023-05-23 23:04:00,2,1,27
34,5,4,148649,5321,3,0,574.4649501973313,21,2023,5,2023-05-23 19:21:00,2,1,25
35,5,4,38758,1731,4,0,681.6632004621606,10,2023,3,2023-05-23 17:00:00,2,0,27
36,5,4,245386,6263,2,0,777.8847197828517,8,2023,2,2023-05-23 18:59:00,2,1,18
37,5,3,40212,1727,4,0,571.6740011580775,10,2023,1,2023-05-23 18:45:00,2,1,27
38,5,4,186009,7317,2,0,339.7962279622796,7,2023,0,2023-05-23 20:11:00,2,1,32
39,5,3,41571,1523,3,0,588.73079448457,10,2023,6,2023-05-23 17:33:00,2,0,27
40,5,4,162387,6554,3,0,572.2239853524566,7,2023,5,2023-05-23 19:17:00,2,1,17
41,5,4,43099,1451,3,0,727.2053756030324,10,2023,4,2023-05-23 19:42:00,2,1,27
42,5,4,134497,4194,2,0,695.207916070577,6,2023,3,2023-05-23 18:46:00,2,1,32
43,5,4,49926,2306,4,0,619.6769297484822,10,2023,2,2023-05-23 20:47:00,2,1,27
44,5,4,162686,6249,3,0,554.9979196671468,11,2023,1,2023-05-23 18:42:00,1,1,36
45,5,4,135974,4411,2,0,643.3173883473136,6,2023,0,2023-05-23 20:23:00,1,1,32
46,5,4,62938,2772,4,0,671.9559884559884,10,2023,6,2023-05-23 17:51:00,1,0,27
47,5,4,57315,2767,4,0,429.02565955908926,18,2023,5,2023-05-23 19:28:00,1,1,34
48,5,4,125363,5201,3,0,643.6402614881754,10,2023,4,2023-05-23 19:48:00,1,1,27
49,5,4,143844,3465,2,0,891.3748917748918,6,2023,2,2023-05-23 23:00:00,1,1,32
50,5,4,141380,5397,3,0,608.5871780618862,6,2023,1,2023-05-23 21:27:00,1,1,17
51,5,4,157881,3328,3,0,1082.0979567307693,6,2023,0,2023-05-23 17:00:00,1,0,32
52,5,4,132699,5063,2,0,503.87181512936996,6,2023,6,2023-05-23 18:31:00,1,1,32
53,5,4,48871,2507,3,0,427.77702433187073,10,2023,5,2023-05-23 20:39:00,1,1,51
54,5,4,164655,3991,2,0,901.6394387371586,6,2023,4,2023-05-23 19:29:00,1,1,32
55,5,4,172338,7884,2,0,431.25063419583967,7,2023,3,2023-05-23 18:21:00,1,1,16
56,5,4,61087,2319,3,0,524.7011642949548,15,2023,1,2023-05-23 19:21:00,1,1,34
57,5,4,158889,5974,2,0,566.4228322731838,0,2023,0,2023-05-23 18:44:00,1,1,17
58,5,4,79499,2799,5,0,1258.3762057877814,12,2023,6,2023-05-23 23:47:00,1,1,54
59,5,4,56646,3396,3,0,351.4870435806832,10,2023,5,2023-05-23 20:03:00,1,1,46
60,5,4,163454,4376,4,0,1087.0680987202925,5,2023,4,2023-05-23 02:12:00,1,1,12
61,5,4,63620,2542,3,0,513.8745082612116,15,2023,2,2023-05-23 23:37:00,1,1,34
62,5,4,121325,3430,2,0,673.7206997084548,8,2023,1,2023-05-23 17:49:00,1,0,15
63,5,4,109952,4367,4,0,420.96198763453174,7,2023,0,2023-05-23 22:15:00,1,1,44
64,5,4,114150,8274,2,0,231.76275078559343,4,2023,5,2023-05-23 21:46:00,1,1,12
65,5,4,148021,5595,2,0,402.8203753351206,1,2023,4,2023-05-23 18:48:00,1,1,12
66,5,4,93877,2626,2,0,699.43907083016,0,2023,1,2023-05-23 17:00:00,1,0,41
67,5,4,237025,10877,2,0,249.99053047715364,22,2023,0,2023-05-23 17:35:00,1,0,53
68,5,4,100977,2802,3,0,934.9511063526053,8,2022,4,2023-05-23 17:00:00,12,0,22
69,5,4,194764,3488,0,0,728.6215596330276,20,2022,2,2023-05-23 21:25:00,12,1,22
70,5,4,67577,2171,3,0,683.7936434822662,12,2022,1,2023-05-23 17:00:00,12,0,41
71,5,4,78938,2775,3,0,602.7455855855856,15,2022,0,2023-05-23 17:00:00,12,0,34
72,5,4,108516,3397,3,0,795.192228436856,4,2022,6,2023-05-23 17:37:00,12,0,42
73,5,4,91236,4112,3,0,498.00875486381324,0,2022,3,2023-05-23 19:01:00,12,1,13
74,5,4,75338,3418,3,0,531.3291398478642,10,2022,0,2023-05-23 17:00:00,12,0,52
75,5,4,92353,2799,2,0,743.7752768846017,8,2022,4,2023-05-23 18:45:00,12,1,29
76,5,5,229825,6158,3,0,931.0985709645989,4,2022,2,2023-05-23 18:14:00,12,1,32
77,5,4,80281,2585,3,0,668.1059961315281,12,2022,1,2023-05-23 21:57:00,12,1,51
78,5,4,128312,6072,3,0,432.06571146245057,10,2022,0,2023-05-23 18:57:00,12,1,49
79,5,6,295336,10837,5,0,1241.8478361170066,2,2022,6,2023-05-23 23:12:00,12,1,17
80,5,4,340692,19728,0,0,227.316200324412,2,2022,4,2023-05-23 02:21:00,12,1,7
81,5,4,94585,3080,3,0,696.0246753246753,15,2022,2,2023-05-23 21:47:00,12,1,34
82,5,4,103494,3308,3,0,702.8518742442564,12,2022,1,2023-05-23 23:54:00,12,1,55
83,5,4,95991,2370,3,0,917.6054852320675,8,2022,0,2023-05-23 17:00:00,12,0,18
84,5,4,175392,6154,3,0,651.6459213519662,15,2022,6,2023-05-23 20:28:00,12,1,34
85,5,4,89576,2139,3,0,1068.897615708275,8,2022,4,2023-05-23 18:21:00,12,1,25
86,5,4,170930,15093,3,0,224.4588882263301,12,2022,3,2023-05-23 23:34:00,12,1,51
87,5,4,92438,2203,3,0,1078.2274171584204,8,2022,2,2023-05-23 18:57:00,11,1,28
88,5,4,117905,7271,4,0,560.9038646678587,16,2022,0,2023-05-23 19:53:00,11,1,16
89,5,4,106454,2895,3,0,781.278756476684,8,2022,6,2023-05-23 22:45:00,11,1,20
90,5,4,84560,3129,2,0,424.48481943112813,16,2022,4,2023-05-23 18:57:00,11,1,54
91,5,4,71758,2426,3,0,490.90643033800495,13,2022,2,2023-05-23 19:58:00,11,1,49
92,5,4,85575,2117,3,0,1084.131790269249,18,2022,1,2023-05-23 17:47:00,11,0,31
93,5,4,149063,4501,4,0,794.9666740724283,1,2022,0,2023-05-23 21:00:00,11,1,21
94,5,4,85231,2164,3,0,661.3331792975971,13,2022,6,2023-05-23 19:19:00,11,1,52
95,5,4,62341,2657,4,0,548.4712081294693,1,2022,6,2023-05-23 02:46:00,11,1,13
96,5,4,301392,18015,2,0,207.22758812101026,2,2022,6,2023-05-23 20:02:00,11,1,4
97,5,4,155906,4688,1,0,379.8086604095563,0,2022,4,2023-05-23 18:52:00,11,1,15
98,5,5,328390,9292,2,0,762.4089539388722,5,2022,6,2023-05-23 22:08:00,11,1,42
